name,quadrant,ring,isNew,description
Vuex,Programmering,BRUK,FALSE,"<p>Åpenbart valg for state management i Vue</p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Skjema, Dataspeilet, Min side</p>"
Vue,Programmering,BRUK,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Oppleves som enklere enn React</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataspeleite, Skjema, Min side, Dataplattform</p>"
Bash (eller zsh eller lignende),Programmering,BRUK,FALSE,"<p>Shell-scripting er et nyttig verktøy for å skape lim i forskjeller deler av livssyklusen til applikasjonen. Ikke så godt egnet for å lage selve applikasjonene.</p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform, Skjema</p>"
Java,Programmering,VURDER,FALSE,"<p>Java er solid og økosystemet er kjemperikt, men språket begynner å bli stort samtidig som man får mange av de samme fordelene uten ulempene ved å velge Kotlin.</p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform</p>"
Golang,Programmering,VURDER,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Kjøremiljø, Veiviser</p>"
Webassembly,Programmering,VURDER,FALSE,"<p>Interessant teknikk for distribusjon av webapplikasjoner. Vi har ikke erfaring med det, men bør kanskje utforskes nærmere av en faggruppe?</p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
</p>"
Express.js,Programmering,BRUK,FALSE,"<p>Det åpenbart riktige valget for backend når man bruker nodejs.</p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Veiviser, Skjema, Dataspeilet</p>"
OpenAPI for API dokumentasjon,Programmering,BRUK,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul>
<li>- Ktor-støtte er i beta</li>
</ul></p>

<p><b>Brukes av</b><br>
Booking, Barnehagepris, Dataplattform</p>"
Knockout.js,Programmering,AVSTÅ,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Skjema</p>"
Redux,Programmering,BRUK,FALSE,"<p>Når man har kompleks håndtering av state opplever vi ofte at Redux er riktig løsning. Før man griper til dette noe komplekse verktøyet kan det være verdt å vurdere om Hooks løser behovet man har. </p>

<p><b>Pros & Cons</b><br>
<ul></li>
<li>+ Gjør det lettere å debugge endringer i state i kompleks apper.</li>
<li>- Redux er kompleks å forholde seg til i seg selv.</li>
</ul></p>

<p><b>Brukes av</b><br>
Booking</p>"
Ktorm,Programmering,VURDER,FALSE,"<p>Kotlin ORM med SQL DSL</p>

<p><b>Pros & Cons</b><br>
<ul>
</ul></p>

<p><b>Brukes av</b><br>
Booking</p>"
Scala,Programmering,AVSTÅ,FALSE,"<p></p>

<p><b>Pros & Cons</b><br>
<ul>
<li>- Kompleks språk</li>
</ul></p>

<p><b>Brukes av</b><br>
Min side, Skjema, Proaktive meldinger</p>"
Nuxt,Programmering,VURDER,FALSE,"<p>Nuxt har vi ikke kjempegod erfaring med på kjørende applikasjoner. Det fungerer ofte godt i starttilfellene, men etterhvert som applikasjoner øker i kompleksitet klarer ikke Nuxt å holde følge. Derimot har vi god erfaring med Nuxt til generering av statiske sider.</p>

<p><b>Pros & Cons</b><br>
<ul>
<li>- Skalerer dårlig med kompleksitet. Kan være vanskelig å integrere med tester.</li>
</ul></p>

<p><b>Brukes av</b><br>
Dataplattform, Min side</p>"
