name,author,date,ring,quadrant,isNew,description,external
React,,1/10/2002,adopt,Languages & Frameworks,FALSE,"React makes it painless to create interactive UIs. Design simple views for each state in your application, and React will efficiently update and render just the right components when your data changes.<span class=""infoLink"">React Docs: <a href=""https://facebook.github.io/react/docs/installation.html"" target=""_blank"">Click here</a></span>",y
Netlify,,1/11/2020,assess,Platforms,FALSE,"Netlify is an all-in-one platform for automating modern web projects. Replace hosting infrastructure, continuous integration, and deployment pipeline with a single workflow.  <span class=""infoLink"">More info: <a href=""https://docs.netlify.com/?_ga=2.266086415.1887079726.1604665583-1133531864.1604665583"" target=""_blank"">Click here</a></span>",y
Outsystems,,1/11/2020,trial,Platforms,FALSE,"OutSystems is a low-code platform which provides the tools for companies to develop, deploy and manage omnichannel enterprise applications.  <span class=""infoLink"">More info: <a href=""https://www.outsystems.com/"" target=""_blank"">Click here</a></span>",y
C#,,1/10/2002,adopt,Languages & Frameworks,FALSE,"C# is a general-purpose, object-oriented programming language designed for the Common Language Infrastructure. <span class=""infoLink"">C# guide: <a href=""https://docs.microsoft.com/en-us/dotnet/csharp/"" target=""_blank"">Click here</a></span>",y
MVC,,1/11/2020,adopt,Languages & Frameworks,FALSE,"MVC gives a powerful, patterns-based way to build dynamic websites that enables a clean separation of concerns and that gives full control over markup for agile development. <span class=""infoLink"">More info: <a href=""https://www.asp.net/mvc"" target=""_blank"">Click here</a></span>",y
NODE.js,,1/11/2020,adopt,Languages & Frameworks,FALSE,"Node is a server framework that uses JavaScript on the server. <span class=""infoLink"">More info: <a href=""https://nodejs.org/en/"" target=""_blank"">Click here</a></span>",y
MS WebForms,,1/11/2020,hold,Languages & Frameworks,FALSE,"Web Forms is a part of the ASP.NET web application framework. It is one of the four programming models you can use to create ASP.NET web applications. <span class=""infoLink"">More info: <a href=""https://docs.microsoft.com/en-us/aspnet/web-forms/what-is-web-forms"" target=""_blank"">Click here</a></span>",y
Flash,,1/11/2020,hold,Languages & Frameworks,FALSE,"Flash displays text, vector graphics and raster graphics to provide animations, video games and applications. <span class=""infoLink"">More info: <a href=""https://www.adobe.com/support/documentation/en/flashplayer/help/"" target=""_blank"">Click here</a></span>",y
Vue.js,,1/11/2020,adopt,Languages & Frameworks,FALSE,"Vue is a progressive framework for building user interfaces.  <span class=""infoLink"">More info: <a href=""https://vuejs.org/v2/guide/"" target=""_blank"">Click here</a></span>",y
GraphQL,,1/11/2020,adopt,Languages & Frameworks,FALSE,"GraphQL is a query language for APIs and a runtime for fulfilling those queries with your existing data. GraphQL provides a complete and understandable description of the data in your API.  <span class=""infoLink"">More info: <a href=""https://graphql.org/"" target=""_blank"">Click here</a></span>",y
NUnit,,1/11/2020,adopt,Languages & Frameworks,FALSE,"NUnit is a unit-testing framework for all .Net languages.  <span class=""infoLink"">More info: <a href=""https://nunit.org/"" target=""_blank"">Click here</a></span>",y
.Net ,,1/11/2020,adopt,Languages & Frameworks,FALSE,".NET is an open source developer platform, created by Microsoft, for building many different types of applications. <span class=""infoLink"">More info: <a href=""https://dotnet.microsoft.com/learn/dotnet/what-is-dotnet"" target=""_blank"">Click here</a></span>",y
.Net core,,1/11/2020,adopt,Languages & Frameworks,FALSE,".NET Core is a cross-platform .NET implementation for websites, servers, and console apps on Windows, Linux, and macOS.  <span class=""infoLink"">More info: <a href=""https://docs.microsoft.com/en-us/dotnet/core/introduction"" target=""_blank"">Click here</a></span>",y
React Native,,1/11/2020,adopt,Languages & Frameworks,FALSE,"React Native combines the best parts of native development with React, a best-in-class JavaScript library for building user interfaces.  <span class=""infoLink"">More info: <a href=""https://reactnative.dev/"" target=""_blank"">Click here</a></span>",y
Ruby,,1/11/2020,adopt,Languages & Frameworks,FALSE,"Ruby is a dynamic, open source programming language with a focus on simplicity and productivity. It has an elegant syntax that is natural to read and easy to write.  <span class=""infoLink"">More info: <a href=""https://www.ruby-lang.org/en/documentation/"" target=""_blank"">Click here</a></span>",y
PHP,,1/11/2020,adopt,Languages & Frameworks,FALSE,"PHP is a general-purpose scripting language especially suited to web development.  <span class=""infoLink"">More info: <a href=""https://www.php.net/"" target=""_blank"">Click here</a></span>",y
Drupal,,1/21/2020,adopt,Platforms,FALSE,"Drupal is an open source content-management framework written in PHP using the Symfony framework. <span class=""infoLink"">  More info: <a href=""https://www.drupal.org/documentation"" target=""_blank"">Click here</a></span> ",y
Sitecore,,1/11/2020,adopt,Platforms,FALSE,"Sitecore is an award winning enterprise content management system. Delivering unparalleled ease of use, total flexibility, and enterprise-grade capabilities. <span class=""infoLink"">More info: <a href=""https://doc.sitecore.net/"" target=""_blank"">Click here</a></span>",y
Google Analytics,,1/11/2020,adopt,Platforms,FALSE,"Google Analytics Solutions offers enterprise analytics tools to measure website, app, digital and offline data to gain customer insights. <span class=""infoLink"">More info: <a href=""https://developers.google.com/analytics/devguides/platform/"" target=""_blank"">Click here</a></span>",y
Umbraco,,1/11/2020,adopt,Platforms,FALSE,"Umbraco is an open source content management system (CMS) platform written in C# and deployed on Microsoft based infrastructure. <span class=""infoLink"">More info: <a href=""https://our.umbraco.org/documentation/"" target=""_blank"">Click here</a></span>",y
EPiServer,,1/11/2020,hold,Platforms,FALSE,"Episerver offers web content management , digital commerce and digital marketing. <span class=""infoLink"">More info: <a href=""https://world.episerver.com/documentation/"" target=""_blank"">Click here</a></span>",y
