name,ring,quadrant,isNew,description,Laatst bijgewerkt,
Advanced Analytics,Explore,Techniques,TRUE,"Advanced Analytics is een verzamelterm voor diverse data analyse technologieën en toepassingen. Deze gaan verder dan basale statistische analyses en traditionele business intelligence om diepere inzichten, voorspellingen of aanbevelingen te kunnen bieden. Voorbeelden van Advanced Analytics technieken zijn data/text mining, time series analyse, forecasting en pattern matching.<br/><br/>Binnen het Kadaster zijn we o.a. aan het onderzoeken of we deze technieken kunnen gebruiken om het werkaanbod van aktes beter te kunnen voorspellen. ",02-14-23,
Artificial Intelligence ,Explore,Techniques,TRUE,"Artificial Intelligence (AI) is 'here to stay' en iets wat het Kadaster ook al toepast. Met AI wordt gedoeld op computersystemen die in staat zijn om taken uit te voeren die normaal gesproken vereisen dat een mens intelligent handelt. Denk aan gegevens analyseren, patronen herkennen en beslissingen nemen.<br/><br/>Het Kadaster heeft een AI-potential map opgesteld om in kaart te brengen waar AI methodes ons verder kunnen helpen de dienstverlening te verbeteren. Zie ""Machine learning"", ""Deep learning"", ""Computer Vision"" en ""Natural Language Processing"" voor meer informatie over deze AI methodes en hoe die binnen het Kadaster worden ingezet.<br/><br/>Daarbij is het verantwoord en ethisch inzetten van AI voor het Kadaster een must. Zie hiervoor ""Responsible AI"".",02-14-23,
Autonomous Things,Monitor,Tools,FALSE,"Robots, drones, auto's en andere autonome apparaten zijn sterk in ontwikkeling en beloven grote impact in onze manier van leven te gaan hebben. We zien steeds vaker dat deze 'dingen' taken uitvoeren die eerst door mensen werden uitgevoerd en dus taken overnemen of dat het onze taak ondersteunt en dat ons werk er door verandert.<br/><br/>Voor het Kadaster zien we daar niet direct veel toepassing voor aangezien ons werk voornamelijk administratief is of heel specifiek in de ruimte (geografisch) zich afspeelt. Wel voorzien we mogelijke impact van deze trend in het registreren van deze autonomous things, zeker als daar rechten en financieringen op bijgehouden moeten worden. Het Kadaster zou daar mogelijk een rol in kunnen gaan spelen.",02-14-23,
Blockchain,Assess,Data management & Infrastructure,FALSE,"De hype van blockchain begint af te nemen. D.w.z. in theorie kan het nog steeds het Kadaster vervangen, maar in een land waar het Kadaster wordt vertrouwd voegt dit niets toe. Het adresseert wel een relevant onderwerp, namelijk: vertrouwen en dan met name vertrouwen in het digitale domein. Welke autoriteit 'zegt' dat data klopt en wat zegt dat dan? Een voorbeeld is Self-sovereign Idenitity (zie verderop in de radar). Voor het scheppen van vertrouwen in uitgegeven credentials is een decentraal beheerd, onveranderlijk en openbaar register waarin de metadata van uitgegeven credentials als anonieme gegevens voor iedereen te raadplegen zijn, noodzakelijk. Voor dit register lijkt een Blockchain ideaal en er is reeds een European Blockchain Services Infrastructure (EBSI) opgezet. <br>
De technologie onder blockchain heet Distributed Ledger Technology. Dit is een technische oplossing om een gedistribueerde ledger, grootbook of database te beheren. Hier zijn vele verschijningsvormen van waarbij over het algemeen geldt dat de data vaak niet rechtstreeks op de blockchain (in de ledger) wordt opgeslagen, maar erbuiten en alleen de 'administratie' van de ledger erin wordt vastgelegd. Deze technologie biedt mogelijkheden om decentraal wijzigingen te doen terwijl er toch met een groter geheel integriteit wordt bewaakt. Dit onderdeel van blockchain heeft het Kadaster met succes toegepast in <a href='/demonstrators/sensrnet/index.html' target=""_blank"">SensRNet</a>, een nieuwe nationale registratie van sensoren waarin deelnemers (nodes) in het register(netwerk) zelf sensoren kunnen beheren, terwijl de data integriteit en koppeling tussen de deelnemers door blockchain worden gegarandeerd. Als zodanig wordt blockchain of DLT, onderdeel van het nieuwe internet voor specifieke onderdelen en aspecten waarin data decentraal gedeeld moet worden.",02-14-23,
Cloud Computing,Adopt,Data management & Infrastructure,FALSE,Cloud Computing is een omvangrijke term die vooral de ontwikkeling van de virtualisatie duidt: van hardware naar virtuele machines (VMs) naar containers naar serverless. In dit spectrum is 'containerization' op dit moment redelijk mainstream aan het worden cq geworden voor huidige software systemen. Zowel ontwikkeltools als vele productiesystemen zijn onderverdeeld in of maken gebruik van containers. Ook het Kadaster is vergaand over naar containers en Kubernetes (container orchestration). ,02-14-23,
Computer Vision,Explore,Tools,FALSE,"Computer vision is een veld binnen AI waarbij systemen zelf beeldmateriaal kunnen begrijpen en interpreteren. Computer vision wordt binnen het Kadaster met name toegepast door het Geo Expertise Centre, waarbij zij beeldherkenning gebruiken om op basis van luchtfoto’s onder andere de zonnepotentie te berekenen. Ook wordt computer vision toegepast bij Kadastrale Kaart Next. Hierbij interpreteert het algoritme de meetschets van de landmeter en haalt daar de meetgegevens uit.<br/><br/>Optical character recoginition (OCR) valt ook onder computer vision en betreft specifiek het interpreteren van tekst in afbeeldingen. Dit is zeer relevant voor het Kadaster, omdat oude aktes alleen beschikbaar zijn als afbeelding en niet als machine-leesbare tekst. Momenteel kijken we of we de ruilverkavelingsaktes machine-leesbaar kunnen maken en worden er plannen gemaakt om dit toe te passen op het akte-archief, wat het mogelijk zal maken om alle aktes vanaf 1950 te doorzoeken.",02-14-23,
Data Science,Adopt,Techniques,FALSE,"Data Science is een interdisciplinair veld dat zich bezighoudt met het analyseren, interpreteren en verrijken van data om nieuwe inzichten en kennis te verkrijgen. Het combineert methoden uit computerwetenschap, statistiek en domein-expertise om waardevolle informatie te vinden in enorme hoeveelheden data. Met de toenemende hoeveelheid beschikbare data en de ontwikkelingen in de technologie worden bedrijven steeds afhankelijker van data-driven beslissingen. Daarom is data science van groot belang geworden, omdat het helpt bij het verbeteren van processen, het maken van beter onderbouwde beslissingen en het ontdekken van nieuwe kansen en mogelijkheden.<br/><br/>Het Kadaster bezit een schat aan data uit de registraties en landelijke voorzieningen. De groeiende marktvraag naar toegang tot deze data en de mogelijkheid om er analyses op uit te voeren, maken het steeds belangrijker voor het Kadaster om deze capability op te bouwen. Hierdoor kunnen zowel interne als externe partijen en burgers de benodigde analyses uitvoeren en zal het Kadaster in staat zijn om de markt te voorzien van wat zij nodig hebben. Dit vereist echter wel dat het Kadaster zelf actief onderzoeken uitvoert en hiermee de nodige expertise opbouwt. Dit doen we onder andere binnen ons Data Science Team, waarbij we inzichten en kennis delen op <a href=""https://labs.kadaster.nl/""  target=""_blank"">labs.kadaster.nl</a>.",02-14-23,
Digital Twin ,Explore,Data management & Infrastructure,TRUE,"De digitale revolutie heeft momenteel de wereld in beweging gebracht en de versmelting van de fysieke en digitale wereld is zichtbaar in het opkomen van digital twins. Een digital twin is een digitale weergave van een fysiek object. Het Kadaster beschouwt een digital twin van de gebouwde omgeving als het meest relevant. Dit is een dynamische digitale representatie van de fysieke wereld die gebruikersvriendelijke visualisaties van zowel de boven- als ondergrond biedt en in staat is om de fysieke wereld beter te laten functioneren door bijvoorbeeld te simuleren, monitoren en voorspellen.<br/><br/>Het Kadaster speelt een belangrijke rol bij het ontwikkelen van digital twins door het bieden van data en technische bouwblokken voor de creatie van deze twins. Het Kadaster's rol als facilitator maakt het mogelijk voor andere partijen om digital twins te creëren en daarmee bij te dragen aan een betere fysieke wereld. Dit zien we bijvoorbeeld terug in het ontwikkelen van geluidsmodellen, voor het voorspellen en beperken van geluidsoverlast. Op basis van Kadasterdata kan één gezamelijk 3D-model gebruikt worden, waardoor verschillende partijen dezelfde digitale weergave als uitgangspunt kunnen nemen.",02-14-23,
Empowered Edge,Monitor,Data management & Infrastructure,FALSE,"Met IoT wordt ons hele leven met alles verbonden. Tegelijk worden alle apparaten die verbonden zijn steeds sterker in rekenkracht en mogelijkheden. Met 'edge' wordt gedoeld op de apparaten die zich aan de rand of einde van het internet bevinden. De groei van verbonden apparaten wordt IoT genoemd, maar deze 'edge' wordt steeds sterker in rekenkracht en mogelijkheden. Daar staat deze trend voor: dit is geen eenvoudige 'edge' meer, maar een Empowered Edge. Apparaten met 5G internet, met ingebouwde of toegang tot Artificial Intelligence brengen mogelijkheden voor real time data uitwisseling bijvoorbeeld voor een zelfrijdende auto en andere Autonomous Things en Smart Anything.<br/><br/>Voor het Kadaster is dit terrein niet direct relevant, hoewel IoT en de opkomst van sensoren en (slimme) apparaten wel impact op te registreren objecten of op de bedrijfsvoering kan hebben. Daarom volgt het Kadaster deze trend wel zonder daar zelf actief onderzoek in te verrichten.",02-14-23,
Event Stream Processing,Adopt,Techniques,FALSE,"Data is steeds minder statisch en steeds meer in beweging. Er is steeds meer data en het wordt steeds relevanter wat de kwaliteit en de actualiteit van data is. Data wordt dan steeds meer beschouwd als een stroom van events. Dit is geen nieuw concept en technologieën om event streams te processen zijn behoorlijk volwassen. In de tijd van cloud computing en eventually consistency is event stream processing een essentieel onderdeel. Het Kadaster ontwerpt steeds meer haar systemen met events als de kern van de data(veranderingen). Daarmee ontstaan patronen en architecturen die zich lenen voor event stream processing of geliëerde technieken, zoals event-sourcing. Voorbeelden waar dit toegepast wordt bij Kadaster, zijn KOERS, Geodataplein, BeterKenbaar, Terristische Registratie. Tegelijk is Event Stream Processing nog geen algemeen gedeelde visie op hoe het Kadaster (en daar buiten) data en data stromen modelleren en onderzoeken we hoe we dit meer kunnen toepassen en laten groeien.",02-14-23,
